"Revision #:";"# de révision :"
"Revisions";"Révisions"
"Date:";"Date :"
"Author:";"Auteur :"
"Object Type:";"Type d'objet :"
"Object ID:";"ID d'objet :"
"Title:";"Titre :"
"Properties:";"Propriétés :"
"{{ num }} object(s) of type <em>{{ typeLabel }}</em>";"{{ num }} objet(s) de type <em>{{ typeLabel }}</em>"
"Daily Updates";"Mises à jour quotidiennes"
"{{ numObjects }} update(s) in the last day";"{{ numObjects }} mise(s) à jour au cours de la journée"
"Hourly Updates";"Mises à jour aux heures"
"{{ numObjects }} update(s) in the last hour";"{{ numObjects }} mise(s) à jour dans la dernière heure"
"Last minute updates";"Mises à jour de dernière minute"
"{{ numObjects }} update(s) in the last minute";"{{ numObjects }} mise(s) à jour dans la dernière minute"
"Monthly Updates";"Mises à jour mensuelles"
"{{ numObjects }} update(s) in the last month";"{{ numObjects }} mise(s) à jour dans le dernier mois"
"Weekly Updates";"Mises à jour hebdomadaires"
"{{ numObjects }} update(s) in the last week";"{{ numObjects }} mise(s) à jour dans la dernière semaine"
"Someone (hopefully you) requested a password reset for the following Charcoal account:";"Quelqu'un (espérons vous) a demandé une réinitialisation du mot de passe pour le compte Charcoal suivant :"
"Notification For: &lt;{{ adminUrl }}&gt;";"Notification Pour : &lt;{{ adminUrl }}&gt;"
"IP Address: {{ ipAddress }}";"Adresse IP : {{ ipAddress }}"
"Email: {{ user.email }}";"Courriel : {{ user.email }}"
"No changes have been made to the account yet.";"Aucun changement n'a été apporté au compte."
"If this is a mistake, just ignore this email and nothing will happen.";"Si ceci est une erreur, ignorez ce courriel et rien ne se passera."
"To reset your password, visit the following address:";"Pour réinitialiser votre mot de passe, visitez l'adresse suivante :"
"Your Password Reset Token: <code>{{ token }}</code>";"Votre clé de réinitialisation de mot de passe : <code>{{ token }}</code>"
"Your reset token expires at {{ expiry }}.";"Votre clé de réinitialisation expire au {{ expiry }}."
"The password has been reset for the following Charcoal account:";"Le mot de passe a été réinitialisé pour le compte Charcoal suivant :"
"If you did not request this change, you can <a href=""{{ urlLockAccount }}"">lock your account</a> to protect your information or contact your administrator: <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>";"Si vous n'avez pas demandé cette modification, vous pouvez <a href=""{{ urlLockAccount }}”>verrouiller votre compte</a> pour protéger vos informations ou contacter votre administrateur : <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>"
"Welcome to Charcoal.";"Bienvenue à Charcoal."
"Enter text here";"Saisissez votre texte ici"
"Record A Message";"Enregistrer un message"
"Upload Audio File";"Téléverser un fichier audio"
"Play/Pause";"Lecture/Pause"
"Complete Recording";"Compléter l'enregistrement"
"Restart Recording";"Redémarrer l'enregistrement"
"Failed to capture audio.";"Échec de la capture audio."
"Record";"Enregistrer"
"Delete";"Supprimer"
"Remove";"Supprimer"
"Confirm Deletion";"Confirmer la suppression"
"Confirm Removal";"Confirmer la suppression"
"You must activate at least one of the following methods: text, record, or file";"Vous devez activer au moins une des méthodes suivantes: texte, enregistrement, ou fichier"
"Use Calendar Widget";"Utiliser le widget calendrier"
"Select…";"Sélectionner…"
"Unselected Options";"Options non sélectionnées"
"Search Unselected Options";"Rechercher des options non sélectionnées"
"Selected Options";"Options sélectionnées"
"Search Selected Options";"Rechercher dans les options sélectionnées"
"Mapping Actions";"Actions de cartographie"
"Add Marker";"Ajouter un marqueur"
"Add Line";"Ajouter une ligne"
"Add Polygon";"Ajouter un polygone"
"Add Column";"Ajouter une colonne"
"Add Row";"Ajouter une ligne"
"Reset";"Réinitialiser"
"Address";"Adresse"
"Search";"Rechercher"
"Add Location";"Ajouter un emplacement"
"Move up the selected options from the right side";"Déplacer vers le haut les options sélectionnées du côté droit"
"Move down the selected options from the right side";"Déplacer vers le bas les options sélectionnées du côté droit"
"Undo the last action";"Annuler la dernière action"
"Undo";"Annuler"
"Move all options from left to right";"Déplacer toutes les options de gauche à droite"
"Move selected options from left to right";"Déplacer les options sélectionnées de gauche à droite"
"Move selected options from right to left";"Déplacer les options sélectionnées de droite à gauche"
"Move all options from right to left";"Déplacer toutes les options de droite à gauche"
"Redo the last action";"Rétablir la dernière action"
"Redo";"Rétablir"
"Copy To Clipboard";"Copier dans le presse-papier"
"elFinder.manager.title";"Gestionnaire de fichiers elFinder"
"Need Help?";"Besoin d'aide ?"
"For any questions about the use of this service, please do not hesitate to contact <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>.";"Pour toutes questions à propos de l'utilisation de ce service, n'hésitez pas à communiquer avec <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>."
"Charcoal is operated by <a href=""https://locomotive.ca"">Locomotive</a>, a Web agency based in Montréal.";"Charcoal est opéré par <a href=""https://locomotive.ca"">Locomotive</a>, une agence Web de Montréal."
"Memo, the alerts system, is powered by <em>Charcoal</em>.";"Memo, le système d'alerte, est propulsé par <em>Charcoal.</em>."
"?";"?"
"Email";"Courriel"
"Password";"Mot de passe"
"auth.login.title";"Connexion"
"auth.login.action";"Se connecter"
"auth.login.pastAction";"Connecté"
"auth.login.presentAction";"Connexion…"
"Lost your password?";"Mot de passe oublié ?"
"auth.logout.title";"Déconnexion"
"auth.logout.action";"Se déconnecter"
"auth.logout.pastAction";"Déconnecté"
"auth.logout.presentAction";"Déconnexion…"
"You have safely logged out from Charcoal.";"Votre déconnexion de Charcoal à été effectuée en toute sécurité."
"Log In Again";"Se reconnecter"
"Log in with your new password";"Connectez-vous avec votre nouveau mot de passe"
"Lost Password";"Mot de passe oublié"
"Please enter your email address.";"Veuillez saisir votre adresse courriel."
"You will receive an email containing a link to create a new password.";"Un lien permettant de créer un nouveau mot de passe vous sera envoyé par courriel."
"Email Address";"Adresse courriel"
"Get Reset Link";"Envoyer un lien de réinitialisation"
"Already received a token by email?";"Vous avez déjà reçu une clé par courriel ?"
"Did you remember your password?";"Vous souvenez-vous de votre mot de passe ?"
"Password Reset";"Réinitialisation du mot de passe"
"Enter the reset token you have received via email, your email address, and your new password.";"Entrez le clé de réinitialisation que vous avez reçu par courriel, votre adresse courriel, et votre nouveau mot de passe."
"Password Reset Token";"Clé de réinitialisation"
"Token (received by email)";"Clé (reçu par courriel)"
"Get new password reset token";"Générer une nouvelle clé de réinitialisation"
"New Password";"Nouveau mot de passe"
"Confirm New Password";"Confirmer le nouveau mot de passe"
"Reset Password";"Réinitialiser le mot de passe"
"Modify";"Modifier"
"Languages";"Langages"
"Edit Object";"Modifier l'objet"
"Editing object";"Modification d'un objet"
"Delete Object";"Supprimer l'objet"
"Deleting object";"Suppression d'un objet"
"Remove Object";"Supprimer l'objet"
"Removing object";"Suppression d'un objet"
"Reset Form";"Réinitialiser le formulaire"
"Form is busy";"Le formulaire est occupé"
"Form is blocked";"Le formulaire est bloqué"
"Form is processing";"Le formulaire est en cours de traitement"
"Form is submitting";"Le formulaire en cours de soumission"
"Visit Website";"Aller sur le site"
"Visit website of {{ siteName }}";"Aller sur le site de {{ siteName }}"
"Back to website";"Retours vers le site"
"Back to {{ siteName }}";"Retours vers {{ siteName }}"
"Welcome";"Bienvenue"
"Settings";"Configuration"
"Manage users";"Gestion des utilisateurs"
"Clear cache";"Vider la cache"
"Cache cleared";"La cache a été vidée"
"Need help?";"Besoin d'aide?"
"Account Management";"Gestion de compte"
"Test SMS";"Tester les SMS"
"Test Voice Messages";"Tester les messages vocaux"
"Help";"Aide"
"Previous Page";"Page précédente"
"Next Page";"Page suivante"
"Cancel";"Annuler"
"Proceed";"Continuer"
"Continue";"Continuer"
"Search…";"Recherche…"
"Clear Results";"Effacer les résultats"
"Toggle Dropdown";"Basculer le menu déroulant"
"List Type";"Type de liste"
"List File";"Fichier de liste"
"Group";"Groupe"
"None";"Aucun"
"New";"Nouveau"
"Default Language";"Langage par défaut"
"Import List";"Importer la liste"
"Error";"Erreur"
"Denied";"Refusé"
"Reason:";"Raison :"
"N/A";"N/A"
"Allowed";"Permis"
"Revision #";"# de révision"
"Date";"Date"
"Author";"Auteur"
"Changeset";"Ensemble de modifications"
"Options";"Options"
"Deprecated";"Discontinué"
"Restore";"Rétablir"
"Restore This Revision";"Rétablir cette révision"
"No history of changes";"Aucun historique de modifications"
"Are you sure you want to restore this revision?";"Êtes-vous surs de vouloir rétablir cette révision?"
"Any changes made since this revision will be canceled.";"Tous les changements effectués depuis cette révision seront annulés."
"Error:";"Erreur :"
"Unable to revert to the revision.";"Impossible de rétablir la révision."
"No Template Options.";"Aucune option de gabarit."
"Redirecting…";"Redirection en cours…"
"Loading…";"Chargement en cours…"
"Loading Widget…";"Chargement du widget…"
"Widget is busy";"Le widget est occupé"
"Widget is blocked";"Le widget est bloqué"
"Widget is processing";"Le widget est en cours de traitement"
"Errors:";"Erreurs :"
"No objects have been created yet.";"Aucun objet n'a été créé pour le moment."
"No objects have been created yet for ""{{ objType }}"".";"Aucun objet n'a été créé, à présent, pour ""{{ objType }}""."
"No objects found for ""{{ objType }}"".";"Aucun objet trouvé pour ""{{ objType }}""."
"Add New Object";"Ajouter un nouvel objet"
"Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)";"Page: {{ page }} / {{ numPages }} ({{ numTotal }} au total)"
"{{ numTotal }} in total";"{{ numTotal }} au total"
"Actions";"Actions"
"Authentication Successful";"L'authentification a réussie"
"Authentication Failed";"L'authentication a échoué"
"You have logged in successfully.";"Votre connexion a bien été établie."
"You will be redirected soon.";"Vous allez être redirigé sous peu."
